customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,online_security,payment_method,num_support_calls,senior_citizen,partner,paperless_billing,churn
CUST00023,6,61.52,369.4,Month-to-Month,Fiber Optic,No,No,Electronic Check,0,0,Yes,Yes,1
CUST00024,23,79.25,1629.2,Month-to-Month,DSL,No,No,Credit Card,0,0,Yes,Yes,0
CUST00025,34,66.91,2135.28,Month-to-Month,No Internet,No,No,Mailed Check,1,0,No,Yes,0
CUST00026,23,81.45,1823.82,Month-to-Month,No Internet,No,Yes,Mailed Check,0,0,No,Yes,0
CUST00027,18,57.58,1040.58,Month-to-Month,DSL,Yes,No,Electronic Check,1,0,No,No,1
CUST00028,16,65.44,911.75,Month-to-Month,Fiber Optic,Yes,No,Mailed Check,3,0,No,No,0
CUST00029,14,45.25,660.41,Month-to-Month,Fiber Optic,Yes,No,Electronic Check,1,0,No,Yes,1
CUST00030,41,69.12,2913.39,Month-to-Month,Fiber Optic,Yes,Yes,Electronic Check,3,1,Yes,No,0
CUST00031,25,49.72,1123.76,Month-to-Month,No Internet,Yes,No,Electronic Check,4,0,Yes,No,0
CUST00032,15,42.15,641.45,Month-to-Month,DSL,Yes,No,Mailed Check,0,0,No,Yes,0
CUST00033,11,76.47,802.19,Two Year,No Internet,Yes,Yes,Bank Transfer,1,0,Yes,Yes,1
CUST00034,31,75.32,2200.34,One Year,DSL,Yes,No,Mailed Check,3,1,Yes,No,0
CUST00035,41,89.57,3352.46,One Year,Fiber Optic,No,Yes,Bank Transfer,0,0,Yes,Yes,0
CUST00036,38,59.22,2174.28,Month-to-Month,Fiber Optic,Yes,Yes,Mailed Check,0,0,No,Yes,1
CUST00037,10,80.2,798.77,Two Year,DSL,No,No,Credit Card,2,0,Yes,Yes,0
CUST00038,16,83.77,1249.43,One Year,DSL,No,No,Credit Card,1,1,No,Yes,1
CUST00039,13,81.12,1029.09,One Year,No Internet,No,No,Mailed Check,0,0,No,No,1
CUST00040,17,49.36,830.61,Month-to-Month,Fiber Optic,Yes,No,Credit Card,2,0,No,No,0
CUST00041,35,73.73,2560.48,Two Year,DSL,Yes,Yes,Credit Card,2,0,No,Yes,0
CUST00042,49,79.1,3334.8,Two Year,Fiber Optic,Yes,Yes,Credit Card,3,0,Yes,No,0
CUST00043,26,70.18,1864.73,Two Year,DSL,Yes,Yes,Credit Card,1,0,No,No,0
CUST00044,12,17.84,201.59,Month-to-Month,DSL,Yes,Yes,Bank Transfer,2,0,No,No,0
CUST00045,19,74.01,1269.06,Month-to-Month,Fiber Optic,No,No,Electronic Check,0,0,No,Yes,1
CUST00046,55,125.31,6191.49,Month-to-Month,DSL,No,No,Bank Transfer,1,1,No,Yes,0
CUST00047,21,61.0,1212.6,Month-to-Month,No Internet,No,Yes,Electronic Check,0,0,Yes,Yes,1
CUST00048,16,51.8,851.48,Two Year,Fiber Optic,No,Yes,Electronic Check,0,0,No,Yes,0
CUST00049,17,79.33,1248.37,Month-to-Month,No Internet,Yes,No,Mailed Check,1,0,Yes,Yes,1
CUST00050,26,77.81,2022.95,Month-to-Month,Fiber Optic,No,Yes,Mailed Check,1,0,No,Yes,0
CUST00051,10,99.82,867.8,Month-to-Month,No Internet,Yes,No,Mailed Check,0,0,No,Yes,1
CUST00052,13,38.55,473.69,Month-to-Month,Fiber Optic,No,No,Mailed Check,1,0,No,Yes,0
CUST00053,38,88.28,3516.79,Month-to-Month,Fiber Optic,No,Yes,Mailed Check,0,0,No,No,0
CUST00054,26,84.76,2212.77,One Year,No Internet,No,Yes,Bank Transfer,1,0,Yes,Yes,0
CUST00055,22,66.45,1304.17,One Year,Fiber Optic,Yes,No,Bank Transfer,0,1,Yes,No,0
CUST00056,39,78.47,2908.2,Month-to-Month,DSL,No,Yes,Credit Card,0,0,No,No,1
CUST00057,11,95.74,944.38,Month-to-Month,Fiber Optic,Yes,Yes,Bank Transfer,0,1,Yes,Yes,1
CUST00058,15,91.81,1283.38,Month-to-Month,No Internet,Yes,Yes,Bank Transfer,3,1,Yes,Yes,0
CUST00059,25,41.42,1041.73,Month-to-Month,Fiber Optic,Yes,No,Mailed Check,0,1,No,No,0
CUST00060,24,90.5,2181.22,One Year,Fiber Optic,Yes,No,Credit Card,2,0,Yes,Yes,0
CUST00061,5,68.38,306.21,One Year,Fiber Optic,No,Yes,Bank Transfer,1,0,No,No,1
CUST00062,14,71.82,1040.11,One Year,No Internet,No,No,Bank Transfer,0,1,Yes,No,0
CUST00063,18,71.83,1252.23,One Year,DSL,Yes,No,Credit Card,4,0,No,Yes,0
CUST00064,27,66.24,1656.11,Month-to-Month,Fiber Optic,No,No,Electronic Check,0,0,No,Yes,1
CUST00065,24,99.79,2276.14,Two Year,DSL,No,Yes,Mailed Check,1,0,Yes,Yes,0
CUST00066,19,67.91,1252.89,Two Year,Fiber Optic,No,No,Bank Transfer,2,0,Yes,No,0
CUST00067,3,42.01,121.24,Two Year,Fiber Optic,No,No,Bank Transfer,2,0,Yes,No,1
CUST00068,20,60.16,1139.77,Month-to-Month,DSL,Yes,Yes,Credit Card,1,0,No,No,0
CUST00069,21,74.47,1487.22,Two Year,DSL,Yes,Yes,Bank Transfer,2,0,Yes,Yes,0
CUST00070,72,100.73,6420.56,Two Year,Fiber Optic,No,Yes,Mailed Check,0,0,Yes,Yes,0
CUST00071,17,85.08,1464.51,Two Year,DSL,No,Yes,Bank Transfer,3,0,No,Yes,0
CUST00072,25,48.74,1167.75,Month-to-Month,DSL,No,No,Electronic Check,2,0,Yes,No,1
CUST00073,43,132.13,4978.3,One Year,No Internet,No,No,Mailed Check,2,0,No,Yes,0
CUST00074,34,76.62,2613.5,Two Year,DSL,No,No,Electronic Check,3,0,No,Yes,0
CUST00075,51,101.88,5385.47,One Year,Fiber Optic,Yes,Yes,Credit Card,1,0,No,No,0
CUST00076,5,66.21,344.11,One Year,No Internet,Yes,No,Mailed Check,2,0,No,Yes,0
CUST00077,8,83.33,615.84,Two Year,DSL,Yes,No,Bank Transfer,0,0,Yes,Yes,0
CUST00078,12,90.99,957.69,Month-to-Month,Fiber Optic,No,No,Mailed Check,3,0,No,Yes,0
CUST00079,4,100.45,383.19,One Year,Fiber Optic,No,No,Mailed Check,2,0,No,Yes,1
CUST00080,21,96.43,1766.88,Month-to-Month,Fiber Optic,No,Yes,Mailed Check,2,0,Yes,No,1
CUST00081,9,91.8,856.6,Two Year,No Internet,No,No,Electronic Check,0,0,Yes,Yes,1
CUST00082,55,62.12,3029.55,Month-to-Month,No Internet,No,No,Credit Card,2,0,No,Yes,0
CUST00083,10,55.71,501.7,Month-to-Month,Fiber Optic,No,No,Mailed Check,2,0,Yes,Yes,1
CUST00084,15,78.32,1094.12,One Year,DSL,No,No,Bank Transfer,1,0,No,Yes,0
CUST00085,35,93.33,3026.89,One Year,DSL,Yes,Yes,Mailed Check,1,0,Yes,Yes,0
CUST00086,6,64.43,390.03,One Year,Fiber Optic,No,Yes,Mailed Check,1,0,Yes,Yes,0
CUST00087,4,96.63,363.82,Two Year,DSL,No,No,Credit Card,1,1,No,No,1
CUST00088,23,106.32,2162.07,Two Year,Fiber Optic,Yes,No,Bank Transfer,0,1,Yes,Yes,1
CUST00089,24,47.09,1021.03,Month-to-Month,Fiber Optic,Yes,No,Bank Transfer,3,0,No,No,1
CUST00090,35,49.08,1635.04,Month-to-Month,DSL,No,Yes,Electronic Check,1,0,Yes,Yes,0
CUST00091,29,66.49,1695.84,Month-to-Month,No Internet,Yes,No,Bank Transfer,2,1,Yes,No,1
CUST00092,25,77.69,1888.51,Month-to-Month,DSL,No,No,Bank Transfer,1,1,No,Yes,0
CUST00093,11,56.89,602.73,Month-to-Month,Fiber Optic,Yes,No,Bank Transfer,3,0,No,Yes,0
CUST00094,24,103.81,2473.85,Two Year,Fiber Optic,No,Yes,Mailed Check,5,0,No,No,0
CUST00095,25,80.6,2090.64,Two Year,Fiber Optic,No,Yes,Electronic Check,2,0,No,Yes,0
CUST00096,11,70.99,806.23,Month-to-Month,Fiber Optic,Yes,No,Bank Transfer,1,0,No,Yes,0
CUST00097,65,34.1,2303.42,Month-to-Month,DSL,No,No,Bank Transfer,1,0,No,Yes,0
CUST00098,28,37.1,933.82,One Year,Fiber Optic,No,No,Bank Transfer,1,0,Yes,Yes,0
CUST00099,8,77.03,540.02,Month-to-Month,Fiber Optic,No,No,Mailed Check,0,0,No,Yes,1
CUST00100,35,16.69,531.84,Month-to-Month,No Internet,No,No,Mailed Check,0,1,Yes,Yes,0
CUST00101,39,95.32,3825.35,Two Year,Fiber Optic,No,Yes,Electronic Check,2,0,Yes,No,0
CUST00102,27,66.05,1862.55,Two Year,Fiber Optic,Yes,Yes,Credit Card,1,0,Yes,No,0
CUST00103,16,150.0,2452.48,Month-to-Month,Fiber Optic,No,Yes,Electronic Check,2,0,Yes,No,1
CUST00104,10,127.7,1113.55,Two Year,No Internet,No,Yes,Mailed Check,5,0,No,Yes,1
CUST00105,19,65.46,1292.85,Month-to-Month,DSL,Yes,No,Bank Transfer,4,1,Yes,Yes,1
CUST00106,26,67.34,1636.46,One Year,Fiber Optic,Yes,No,Bank Transfer,0,0,Yes,No,0
CUST00107,20,94.89,1616.66,Month-to-Month,Fiber Optic,Yes,Yes,Electronic Check,0,0,Yes,Yes,1
CUST00108,52,112.58,5494.0,Month-to-Month,Fiber Optic,No,No,Bank Transfer,2,0,Yes,No,0
CUST00109,31,29.05,773.77,Two Year,DSL,No,No,Mailed Check,2,0,No,Yes,0
CUST00110,9,25.34,218.66,Month-to-Month,Fiber Optic,Yes,No,Electronic Check,2,0,Yes,Yes,1
CUST00111,8,54.45,399.75,One Year,DSL,No,Yes,Credit Card,1,0,Yes,No,0
CUST00112,28,84.57,2236.98,Month-to-Month,Fiber Optic,No,No,Mailed Check,1,0,Yes,No,0
CUST00113,17,82.42,1362.8,Month-to-Month,Fiber Optic,Yes,No,Mailed Check,2,0,Yes,No,1
CUST00114,33,96.74,3268.27,Month-to-Month,No Internet,No,No,Bank Transfer,1,0,No,No,1
CUST00115,28,40.01,1100.54,Month-to-Month,Fiber Optic,No,No,Mailed Check,4,1,Yes,No,1
CUST00116,19,15.0,266.99,One Year,DSL,No,Yes,Mailed Check,0,0,Yes,Yes,0
CUST00117,10,91.45,927.2,Month-to-Month,DSL,Yes,No,Credit Card,3,1,Yes,No,1
CUST00118,5,49.3,254.17,One Year,No Internet,Yes,No,Bank Transfer,6,1,Yes,No,1
CUST00119,24,19.54,409.85,One Year,DSL,Yes,No,Mailed Check,4,1,No,No,0
CUST00120,6,73.63,422.51,One Year,Fiber Optic,No,No,Bank Transfer,2,0,Yes,Yes,0
CUST00121,9,89.83,733.2,Month-to-Month,DSL,No,Yes,Mailed Check,2,0,No,No,0
CUST00122,22,66.95,1265.83,Two Year,Fiber Optic,No,Yes,Credit Card,1,0,No,Yes,0
CUST00123,21,58.55,1209.52,Month-to-Month,Fiber Optic,Yes,No,Bank Transfer,2,0,Yes,Yes,0
CUST00124,7,66.02,472.56,Month-to-Month,Fiber Optic,Yes,Yes,Bank Transfer,2,0,No,Yes,1
CUST00125,42,60.74,2251.53,Month-to-Month,Fiber Optic,No,No,Credit Card,2,0,No,Yes,0
CUST00126,41,36.3,1506.88,Month-to-Month,No Internet,No,Yes,Electronic Check,2,1,No,Yes,0
CUST00127,29,52.13,1543.03,Month-to-Month,Fiber Optic,No,Yes,Mailed Check,2,0,Yes,No,0
CUST00128,29,83.03,2487.01,One Year,Fiber Optic,No,No,Mailed Check,0,1,No,No,0
CUST00129,29,78.04,2043.76,Month-to-Month,No Internet,Yes,Yes,Electronic Check,1,0,Yes,Yes,0
CUST00130,39,74.2,2982.9,Month-to-Month,No Internet,Yes,No,Bank Transfer,0,0,Yes,No,1
CUST00131,32,45.12,1319.86,One Year,DSL,Yes,No,Bank Transfer,1,0,No,Yes,0
CUST00132,10,65.46,628.72,Month-to-Month,No Internet,Yes,No,Credit Card,2,0,No,Yes,0
CUST00133,17,15.57,227.66,Month-to-Month,DSL,Yes,No,Credit Card,1,0,Yes,Yes,0
CUST00134,72,74.46,4604.0,Month-to-Month,Fiber Optic,Yes,Yes,Credit Card,1,0,No,No,0
CUST00135,3,105.72,315.28,One Year,No Internet,Yes,No,Electronic Check,2,0,No,Yes,1
CUST00136,14,33.15,435.74,Month-to-Month,DSL,Yes,No,Electronic Check,2,0,Yes,Yes,1
CUST00137,42,55.35,2095.16,Month-to-Month,DSL,No,No,Bank Transfer,2,0,Yes,Yes,0
CUST00138,11,78.23,764.22,Month-to-Month,DSL,Yes,No,Credit Card,0,0,Yes,No,0
CUST00139,32,101.32,3190.33,One Year,Fiber Optic,No,No,Bank Transfer,1,0,No,No,0
CUST00140,21,58.79,1049.5,One Year,Fiber Optic,No,No,Electronic Check,2,0,No,Yes,1
CUST00141,12,52.69,639.35,Two Year,Fiber Optic,No,No,Mailed Check,3,0,Yes,Yes,0
CUST00142,2,20.78,35.98,Month-to-Month,No Internet,No,Yes,Bank Transfer,1,0,No,No,1
CUST00143,23,72.59,1483.08,Month-to-Month,Fiber Optic,Yes,Yes,Electronic Check,3,1,No,No,0
CUST00144,10,121.05,1122.43,Month-to-Month,DSL,No,No,Credit Card,2,0,No,Yes,1
CUST00145,18,76.93,1311.31,Month-to-Month,No Internet,No,Yes,Mailed Check,0,0,Yes,No,0
CUST00146,29,69.44,1854.67,Month-to-Month,DSL,No,Yes,Mailed Check,2,0,No,No,0
CUST00147,37,78.05,2639.91,Month-to-Month,DSL,Yes,Yes,Mailed Check,1,1,No,Yes,0
CUST00148,14,69.72,1017.84,Month-to-Month,DSL,Yes,No,Credit Card,2,0,Yes,Yes,1
CUST00149,11,49.67,534.52,One Year,Fiber Optic,Yes,No,Mailed Check,2,0,Yes,Yes,0
CUST00150,6,90.58,464.51,Month-to-Month,DSL,No,No,Electronic Check,0,1,No,No,1
CUST00151,38,75.64,2690.46,One Year,DSL,No,No,Bank Transfer,0,0,Yes,Yes,0
CUST00152,72,70.44,5198.48,Month-to-Month,DSL,Yes,No,Mailed Check,2,0,No,Yes,0
CUST00153,41,45.62,1702.63,Month-to-Month,DSL,No,No,Mailed Check,2,0,Yes,No,0
CUST00154,47,102.59,4189.66,Month-to-Month,Fiber Optic,No,No,Electronic Check,2,0,Yes,No,1
CUST00155,11,86.62,954.42,Month-to-Month,No Internet,No,No,Credit Card,2,0,Yes,Yes,0
CUST00156,28,56.18,1527.74,Month-to-Month,Fiber Optic,No,No,Mailed Check,4,0,Yes,Yes,1
CUST00157,35,95.05,3207.19,Month-to-Month,DSL,No,No,Electronic Check,1,0,Yes,Yes,1
CUST00158,8,57.56,396.34,Two Year,DSL,Yes,No,Electronic Check,1,1,No,No,0
CUST00159,57,50.45,2525.11,One Year,No Internet,No,No,Credit Card,1,0,Yes,No,0
CUST00160,5,51.01,248.55,Month-to-Month,DSL,Yes,No,Credit Card,3,0,No,Yes,1
CUST00161,52,25.72,1192.41,Two Year,No Internet,No,No,Bank Transfer,0,0,No,Yes,0
CUST00162,5,81.79,388.84,One Year,DSL,No,No,Mailed Check,2,0,Yes,No,0
CUST00163,8,24.22,185.81,One Year,No Internet,No,No,Bank Transfer,0,0,Yes,Yes,0
CUST00164,28,39.29,997.48,Two Year,DSL,No,No,Electronic Check,1,0,No,No,0
CUST00165,21,18.11,395.4,Month-to-Month,Fiber Optic,Yes,No,Mailed Check,2,0,Yes,Yes,0
CUST00166,15,67.85,1036.57,Month-to-Month,Fiber Optic,Yes,No,Electronic Check,2,0,Yes,No,0
CUST00167,56,66.24,3688.94,Month-to-Month,Fiber Optic,No,Yes,Electronic Check,4,1,No,Yes,0
CUST00168,6,61.83,321.12,Month-to-Month,DSL,Yes,No,Electronic Check,2,0,Yes,Yes,0
CUST00169,18,43.94,689.07,Month-to-Month,Fiber Optic,No,No,Credit Card,1,1,Yes,Yes,1
CUST00170,31,40.69,1196.5,One Year,Fiber Optic,Yes,No,Credit Card,3,0,No,No,0
CUST00171,25,81.61,1799.79,Two Year,DSL,Yes,Yes,Mailed Check,2,0,No,Yes,0
CUST00172,12,56.24,705.69,Two Year,DSL,Yes,No,Electronic Check,4,0,Yes,Yes,0
CUST00173,12,77.91,824.32,Two Year,Fiber Optic,No,No,Electronic Check,0,0,No,No,0
CUST00174,36,47.87,1632.83,Two Year,DSL,No,Yes,Mailed Check,1,0,No,No,0
CUST00175,37,74.53,2544.79,Two Year,Fiber Optic,Yes,No,Bank Transfer,4,0,No,No,0
CUST00176,25,102.58,2507.77,Month-to-Month,DSL,Yes,No,Electronic Check,0,1,Yes,Yes,1
CUST00177,10,84.65,741.37,Month-to-Month,Fiber Optic,No,No,Credit Card,1,0,No,No,0
CUST00178,13,59.69,726.36,Month-to-Month,DSL,Yes,No,Bank Transfer,1,0,Yes,Yes,1
CUST00179,20,76.43,1383.29,Two Year,Fiber Optic,No,Yes,Bank Transfer,3,0,No,Yes,1
CUST00180,22,63.98,1446.34,Month-to-Month,DSL,No,No,Bank Transfer,1,0,Yes,Yes,1
CUST00181,30,70.2,1807.19,One Year,DSL,No,No,Bank Transfer,1,1,No,Yes,1
CUST00182,17,61.86,1086.06,Month-to-Month,DSL,No,Yes,Bank Transfer,2,0,Yes,Yes,0
CUST00183,36,65.89,2411.41,Month-to-Month,No Internet,No,No,Bank Transfer,3,0,Yes,Yes,1
CUST00184,35,75.3,2397.02,One Year,DSL,No,No,Mailed Check,0,0,No,No,0
CUST00185,48,45.17,2185.2,Month-to-Month,Fiber Optic,No,No,Mailed Check,1,0,Yes,Yes,1
CUST00186,20,44.6,763.77,Month-to-Month,DSL,No,Yes,Bank Transfer,3,0,Yes,Yes,1
CUST00187,25,35.29,920.52,Month-to-Month,DSL,Yes,No,Credit Card,0,0,No,Yes,0
CUST00188,18,29.99,515.7,Month-to-Month,Fiber Optic,No,No,Mailed Check,1,0,No,No,0
CUST00189,10,39.57,360.35,One Year,Fiber Optic,Yes,Yes,Mailed Check,1,0,Yes,Yes,0
CUST00190,72,73.99,4914.5,Month-to-Month,No Internet,No,Yes,Bank Transfer,0,0,Yes,Yes,0
CUST00191,44,47.68,1811.09,One Year,No Internet,No,Yes,Credit Card,1,0,No,Yes,0
CUST00192,35,82.84,3038.19,Month-to-Month,Fiber Optic,Yes,No,Bank Transfer,2,0,No,No,0
CUST00193,20,70.87,1215.93,Two Year,Fiber Optic,Yes,Yes,Credit Card,3,0,Yes,Yes,0
CUST00194,9,20.79,183.55,Month-to-Month,Fiber Optic,No,Yes,Credit Card,2,1,No,Yes,1
CUST00195,39,86.37,3161.43,One Year,Fiber Optic,No,No,Electronic Check,3,0,No,Yes,0
CUST00196,18,90.27,1689.5,One Year,No Internet,No,No,Mailed Check,0,1,Yes,No,0
CUST00197,27,45.15,1096.17,Month-to-Month,Fiber Optic,No,No,Bank Transfer,2,1,Yes,Yes,1
CUST00198,12,80.5,923.9,Two Year,Fiber Optic,Yes,No,Mailed Check,3,0,Yes,No,0
CUST00199,24,48.59,1103.74,One Year,DSL,No,Yes,Mailed Check,0,0,No,Yes,0
CUST00200,13,72.44,932.84,Month-to-Month,DSL,No,No,Credit Card,3,0,Yes,No,0
CUST00201,14,38.39,464.15,Month-to-Month,No Internet,No,Yes,Mailed Check,2,0,Yes,Yes,0
CUST00202,24,25.17,536.88,Two Year,DSL,Yes,No,Electronic Check,2,0,No,No,0
CUST00203,5,60.43,269.79,One Year,Fiber Optic,No,No,Bank Transfer,5,0,Yes,Yes,1
CUST00204,5,66.91,333.76,Month-to-Month,DSL,Yes,Yes,Mailed Check,2,0,No,Yes,1
CUST00205,11,60.06,586.55,Month-to-Month,No Internet,Yes,No,Bank Transfer,1,0,Yes,Yes,0
CUST00206,17,40.4,662.55,Two Year,DSL,No,No,Mailed Check,2,1,No,No,0
CUST00207,36,60.0,1928.99,One Year,No Internet,Yes,Yes,Bank Transfer,6,0,Yes,No,0
CUST00208,18,76.73,1411.97,One Year,DSL,Yes,No,Bank Transfer,1,1,Yes,Yes,0
CUST00209,20,68.88,1430.55,Month-to-Month,No Internet,No,No,Bank Transfer,2,0,No,No,0
CUST00210,16,74.56,1137.72,One Year,Fiber Optic,No,No,Mailed Check,0,0,No,Yes,0
CUST00211,25,53.25,1225.36,Month-to-Month,DSL,No,No,Electronic Check,5,0,No,No,1
CUST00212,10,99.29,890.44,Month-to-Month,Fiber Optic,No,No,Bank Transfer,3,1,No,Yes,1
CUST00213,18,40.6,628.46,One Year,DSL,No,Yes,Credit Card,5,0,No,Yes,0
CUST00214,27,82.19,2005.43,Two Year,DSL,Yes,Yes,Credit Card,2,0,No,Yes,0
CUST00215,24,99.55,2343.44,Month-to-Month,No Internet,Yes,No,Credit Card,0,1,No,No,1
CUST00216,20,82.02,1569.41,Month-to-Month,Fiber Optic,Yes,Yes,Electronic Check,0,0,No,No,0
CUST00217,20,64.94,1349.2,One Year,Fiber Optic,No,No,Bank Transfer,1,0,No,Yes,0
CUST00218,29,56.79,1530.4,Month-to-Month,DSL,Yes,No,Electronic Check,1,1,No,Yes,1
CUST00219,72,95.9,6827.28,Two Year,Fiber Optic,Yes,Yes,Bank Transfer,3,1,Yes,Yes,0
CUST00220,10,34.43,326.35,One Year,No Internet,No,Yes,Electronic Check,1,0,Yes,Yes,0
CUST00221,72,45.75,3137.59,Month-to-Month,Fiber Optic,No,No,Bank Transfer,2,0,Yes,Yes,0
CUST00222,10,60.06,542.68,Two Year,No Internet,No,No,Credit Card,3,1,No,Yes,0
CUST00223,2,100.94,189.97,One Year,No Internet,No,No,Bank Transfer,1,1,No,Yes,1
CUST00224,13,79.49,975.66,Two Year,DSL,Yes,No,Electronic Check,1,0,No,No,0
CUST00225,26,45.8,1180.47,One Year,DSL,No,Yes,Bank Transfer,4,1,Yes,No,0
CUST00226,65,62.24,4199.85,Two Year,No Internet,No,No,Mailed Check,2,0,Yes,Yes,0
CUST00227,9,54.64,450.39,Month-to-Month,Fiber Optic,No,Yes,Bank Transfer,2,0,No,No,1
CUST00228,29,52.26,1301.0,Month-to-Month,DSL,Yes,No,Credit Card,2,0,No,Yes,0
CUST00229,6,94.47,538.06,Two Year,DSL,No,No,Bank Transfer,3,0,Yes,No,1
CUST00230,64,35.71,2191.49,Month-to-Month,Fiber Optic,No,No,Mailed Check,1,0,No,Yes,0
CUST00231,44,110.22,4285.6,Month-to-Month,Fiber Optic,Yes,No,Mailed Check,0,0,Yes,No,0
CUST00232,14,90.71,1272.6,One Year,DSL,No,No,Mailed Check,0,0,Yes,Yes,0
CUST00233,49,97.27,4990.18,Two Year,DSL,Yes,No,Electronic Check,4,0,No,Yes,0
CUST00234,18,58.43,1092.92,Month-to-Month,No Internet,No,No,Mailed Check,2,0,No,No,1
CUST00235,46,66.25,2710.51,Two Year,Fiber Optic,No,No,Electronic Check,2,1,No,Yes,0
CUST00236,20,34.17,700.53,One Year,Fiber Optic,Yes,Yes,Mailed Check,1,1,Yes,Yes,0
CUST00237,21,56.88,1183.61,Month-to-Month,Fiber Optic,Yes,No,Electronic Check,2,0,Yes,No,1
CUST00238,14,82.34,1084.48,Two Year,Fiber Optic,Yes,Yes,Mailed Check,1,1,Yes,No,0
CUST00239,31,102.4,3041.46,Month-to-Month,Fiber Optic,Yes,Yes,Mailed Check,1,0,Yes,Yes,0
CUST00240,22,42.32,949.59,Month-to-Month,Fiber Optic,Yes,Yes,Bank Transfer,1,0,No,Yes,0
CUST00241,29,60.86,1669.68,Month-to-Month,DSL,Yes,No,Mailed Check,1,1,Yes,Yes,0
CUST00242,4,66.22,244.92,Month-to-Month,Fiber Optic,No,Yes,Bank Transfer,0,0,Yes,No,1
CUST00243,47,35.11,1565.43,Month-to-Month,Fiber Optic,Yes,No,Mailed Check,1,0,Yes,Yes,0
CUST00244,55,84.78,4503.55,Two Year,No Internet,No,No,Mailed Check,1,0,No,No,0
CUST00245,22,51.9,1013.71,One Year,DSL,No,Yes,Bank Transfer,2,0,No,Yes,0
CUST00246,72,65.12,4830.15,One Year,No Internet,No,No,Bank Transfer,1,0,No,Yes,0
CUST00247,61,58.7,3526.41,One Year,No Internet,No,Yes,Electronic Check,3,1,Yes,Yes,0
CUST00248,32,50.27,1571.08,Month-to-Month,DSL,Yes,No,Credit Card,2,0,Yes,Yes,0
CUST00249,50,69.82,3036.82,Month-to-Month,Fiber Optic,Yes,No,Bank Transfer,3,1,Yes,No,0
CUST00250,41,64.61,2571.75,Two Year,Fiber Optic,No,No,Electronic Check,2,1,Yes,Yes,0
CUST00251,3,60.7,159.19,Month-to-Month,No Internet,No,Yes,Mailed Check,4,0,Yes,No,1
CUST00252,16,51.79,717.39,Month-to-Month,Fiber Optic,No,No,Bank Transfer,0,0,Yes,Yes,1
CUST00253,33,77.99,2459.04,One Year,Fiber Optic,No,No,Bank Transfer,3,0,No,Yes,0
CUST00254,57,111.34,5905.67,Month-to-Month,Fiber Optic,No,No,Mailed Check,4,0,No,Yes,0
CUST00255,5,73.5,355.65,Two Year,DSL,No,No,Mailed Check,2,0,Yes,No,1
CUST00256,4,94.9,329.43,Month-to-Month,DSL,No,Yes,Mailed Check,5,1,No,No,1
CUST00257,19,35.24,626.84,Month-to-Month,Fiber Optic,Yes,No,Mailed Check,2,0,Yes,Yes,1
